--EJECUTIVO
Ejecución de Sentencia de resoluciones judiciales;
Documentos privados de deudor o causante, reconocido o declarado;
Instrumento público presentados en forma de acuerdo con las solemnidades prescriptas en la ley;
Confesión judicial expresa;
Cuentas aprobadas o reconocidas judicilamente y las cuentas simples de gestión que contengan la conformidad del deudor;
Cobro de guaranies en diversos conceptos-juicio ejecutivo;


--ORDINARIO
Pago por Consignación;
Acción autónoma de nulidad;
Cumplimiento de contrato;
Cumplimiento de contrato y cobro de guararies;
Transferencia de Pase/Liberación de Pase y cobro de guaranies;
Retiro Justificado y cobro de guaranies;
Reposición Sindical y cobro de guaranies;
Reintegro al trabajo y cobro de guaranies;
Reconocimiento de Antiguedad y otros derechos;
Nulidad del despido de mujeres embarazadas y cobro de guaranies;
Justificación de causal de despido y suspensión de contrato;
Despido injustificado y cobro de guaranies;
Cobro de guaranies en diversos conceptos.juicio ordinario;
Cancelación de Personeria Gremial;
Justificación de causal de despido;

--ESPECIAL
Beneficio de litigar sin gastos;
Homologación de acuerdo;
Calificación de Huelga;
Medidas Cautelares;
Oficio Comisivo;
Comunicacion de la huelga;

