--MATERIA JUSTICIA LETRADA
--ejecutivo
Acción Ejecutiva;
Acción Preparatoria de Juicio Ejecutivo;
Cobro de alquileres;
Ejecución de resoluciones administrativas;
Ejecución de resoluciones dictadas en el extranjero;
Ejecución de resoluciones judiciales;
Ejecución hipotecaria;
Ejecución por obligación de dar cosa cierta mueble;
Ejecución prendaria;
Obligación de dar cosa incierta;

--ESPECIAL
Acción puramente declarativa;
Afectación de inmueble como bien de familia;
Alimentos y litis expensas;
Aprobación de cuentas;
Ausencia con Presunción de fallecimiento;
Autorización judicial;
Autorización judicial para apertura de caja de seguridad;
Autorización Judicial para cumplimiento de medida de urgencia;
Autorización judicial para residir fuera del hogar conyugal;
Beneficio de litigar sin gastos;
Cancelación de Hipoteca;
Cancelación/levantamiento de inscripción;
Cesación de la afectación como bien de familia;
Convalidación de transferencia;
Convocatoria de acreedores;
Copia de título;
Declaración de Toxicomanía;
Desafectación de inmueble como bien de familia;
Deslinde;
Diligencias preparatorias;
Disolución de la comunidad conyugal;
Disolución de sociedad comercial;
División extrajudicial;
Divorcio por mutuo consentimiento;
Exclusión del hogar conyugal;
Expedición de Certificado/documentación ;
Formalización de acto jurídico;
Homologación de acuerdo;
Inscripción de capitulación matrimonial extranjera;
Inscripción de derecho de usufructo;
Inscripción de fallecimiento;
Inscripción de ley de expropiación;
Inscripción de matrimonio;
Inscripción de sentencia dictada en el Extranjero;
Inscripción de título en los Registros Públicos;
Inscripción de unión de hecho;
Inscripción preventiva;
Integración de Tribunal Arbitral;
Interdicto de adquirir;
Interdicto de obra nueva;
Interdicto de recobrar;
Interdicto de retener;
Intervención judicial;
Levantamiento de medida cautelar;
Levantamiento de prenda con registro;
Levantamiento de usufructo;
Medida de urgencia;
Medida judicial con fines de fiscalización tributaria;
Medidas Precautorias;
Mensura;
Partición de condominio;
Prestación de Alimentos;
Privación de eficacia jurídica;
Protocolización;
Prueba Anticipada;
Quiebra;
Rectificación de título;
Reinscripción en el Registro del Automotor;
Reinscripción en los Registros Públicos;
Rendición de cuentas;
Reputación y declaración de sucesión vacante;
Separación de cuerpos;
Sucesión Intestada;
Sucesión Testamentaria;
Tasación de inmueble;
Venia para ejercer el comercio;
Venia para vender;

--ORDINARIO
Acción autónoma de nulidad;
Acción Confesoria;
Acción de colación;
Acción de convocatoria de asambleas;
Acción de impugnación de asambleas;
Acción de Indignidad;
Acción de restitución*;
Acción derivada de la promesa pública de recompensa;
Acción negatoria;
Acción por uso indebido de nombre;
Acción Posesoria;
Acción redhibitoria;
Acción revocatoria ;
Acción subrogatoria;
Adquisición por accesión;
Anticipo de herencia;
Aprobación de asamblea;
Cancelación de deuda;
Cancelación de Hipoteca;
Cancelación de Marca por falta de uso;
Cesación de uso de Marca o Repetición de uso e Indemnización por Daños y Perjuicios;
Clausura provisional;
Cobro de guaraníes ordinario;
Compensación de deuda;
Cumplimiento de contrato;
Cumplimiento de promesa unilateral de pago;
Declaración de desconocimiento de deuda;
Derecho de Paso Obligatorio;
Desafectación de inmueble;
Desheredación;
Determinación de cantidad no fijada en la obligación;
Divorcio a petición de una sóla de las partes;
Enriquecimiento sin causa;
Evicción;
Exclusión de heredero;
Fijación de plazo para cumplimiento de obligación;
Fijación de recompensa e indemnización por hallazgo de cosa perdida;
Fijación judicial de precio;
Impugnación de documentos;
Impugnación de Filiación;
Impugnación promovida por el hijo o herederos forzosos;
Indemnización de daño moral;
Indemnización de daños y perjuicios por expropiación;
Indemnización de daños y perjuicios por responsabilidad contractual;
Indemnización de daños y perjuicios por responsabilidad extracontractual;
Indemnización por ejercicio abusivo del derecho;
Levantamiento de usufructo;
Libre Acceso a la Información Pública;
Modificación de cláusulas contractuales o dispensa para incumplimiento;
Modificación equitativa de contrato por lesión;
Modificación o cesación de la prestación alimenticia;
Nulidad de acto jurídico;
Nulidad de inscripción;
Nulidad de Matrimonio;
Nulidad de Registro de Dibujos o Modelos Industriales;
Nulidad de Registro de Marcas;
Nulidad o caducidad de patentes de invención;
Nulidad por simulación;
Obligación de hacer;
Obligación de hacer Escritura Pública;
Obligación de no hacer;
Pago por Consignación;
Petición de Herencia;
Prescripción;
Reconocimiento de acto jurídico;
Reconocimiento de Crédito;
Reconocimiento de filiación;
Reconocimiento de sociedad de hecho;
Reconocimiento de unión de hecho;
Rectificación de acta en el Registro de Estado Civil de las Personas;
Rectificación de Instrumento Público;
Rectificación, adición, supresión y otras modificaciones de nombre;
Recuperación de cosa expropiada;
Recuperación de vehículo;
Reducción;
Regulación de honorarios extrajudiciales;
Rehabilitación de cuenta;
Reivindicación;
Remoción de autoridades;
Repetición de pago;
Rescisión de contrato;
Resolución de contrato;
Retención de inmueble;
Revocación de la aceptación de herencia;
Revocación de la renuncia a la herencia;
Servidumbre de acueducto;
Servidumbre de tránsito;
Usucapión;


--SUMARIO
Acción de convocatoria de asambleas;
Desalojo;
Desalojo con Condena de Futuro;
Insanía;
Inscripción de nacimiento;
Opcion de Nacionalidad;
Oposición al matrimonio;




