--ESPECIAL
Adopción;
Asistencia alimenticia;
Asistencia alimenticia de parientes;
Asistencia alimenticia pre-natal;
Aumento de la asistencia alimenticia;
Autor. jud. para hacer transacciones o compromisos sobre los derechos del niño o adolesc.;
Autor. jud. para todo acto o contrato que tengan interés parientes o socios comerciales;
Autorización jud.para tomar en arrendamiento bienes raíces que no fuese la casa habitación;
Autorización judicial cuando existe disentimiento de los padres para viajar al exterior;
Autorización judicial para cambio de familia sustituta;
Autorización judicial para comprar  inmuebles y otros objetos de  alto valor económico;
Autorización judicial para constituir derechos reales;
Autorización judicial para constituir derechos reales sobre los bienes;
Autorización judicial para contraer matrimonio;
Autorización judicial para el abrigo;
Autorización judicial para enajenar bienes;
Autorización judicial para enajenar bienes que tengan en condominio con sus hijos;
Autorización judicial para intervención quirúrgica ante el peligro de muerte;
Autorización judicial para pagar deudas que no sean las ordinarias de la administración;
Autorización judicial para remitir créditos a favor del niño o adolescente;
Autorización judicial para transferir derechos que tengan sus hijos sobre bienes de otros;
Autorización judicial para ubicación del niño o adolescente en un hogar;
Autorización judicial para ubicación del niño o adolescente en una familia sustituta;
Autorización judicial para viajar;
Autorización juducial para hacer prestamos a nombre del niño o adolescente;
Autorización para partición de bienes inmuebles;
Autorización para partición de bienes muebles;
Autorización para partición de condominio;
Autorizacón judicial para enajenar bienes;
Busqueda y localización del niño o adolescente;
Cesación de la asistencia alimenticia;
Conclusión de Tutela;
Confirmación de la tutela dada por los padres;
Declaración judicial de conclusión de Tutela especial;
Desconocimiento  de filiación;
Designación de la familia sustituta;
Discernimiento de la Tutela;
Disminución de la asistencia alimenticia;
Ejecución de resoluciones judiciales;
Guarda del niño o adolescente;
Homologación de acuerdo;
Impugnación de filiación;
Inscripción Judicial;
Maltrato del niño o adolescente (Ley 4295/11);
Medida Judicial;
Medidas Cautelares;
Medidas de Protección;
Ofrecimiento de la prestación alimenticia;
Patria Potestad;
Perdida de la patria potestad;
Reconocimiento de filiación;
Regimen de convivencia;
Regimen de relacionamiento;
Remoción de la administración de los bienes del hijo;
Remoción de la Tutela;
Rendición judicial de cuentas de la tutela;
Resarcimiento del perjuicio en la tutela;
Suspensión de la patria potestad;
Tutela;
Venia para el servicio militar obligatorio;


--GENERAL
Restitución;
Restitución de la patria potestad;


--SUMARIO
Beneficio para litigar sin gastos;
Restitución;
Restitución de la patria potestad;
